age,income,credit_score,loan_amount,years_employed,education,employment_status,marital_status,housing_type,application_date,target
43.0,67976.67,694.0,14857.28,19.0,Master,Employed,Married,Rent,2024-09-21,0
24.0,80737.68,422.0,4364.86,33.3,Bachelor,Employed,Divorced,Other,2025-02-27,1
49.0,79265.51,658.0,11273.99,31.3,Bachelor,Employed,Divorced,Own,2024-11-15,1
59.0,35132.3,441.0,11185.49,18.3,Bachelor,Employed,Single,Own,2024-05-31,1
62.0,64653.49,643.0,3361.85,6.5,Master,Unemployed,Widowed,Mortgage,2024-06-13,1
54.0,,334.0,57.35,1.9,,Employed,Married,Own,2024-10-19,0
75.0,38295.48,452.0,28567.7,12.8,High School,Employed,Single,Own,2024-07-06,0
18.0,49376.45,828.0,7144.97,1.5,Bachelor,Unemployed,Single,Rent,2024-06-15,1
77.0,55004.65,807.0,11149.13,6.1,Bachelor,Employed,Single,Rent,2023-11-18,0
70.0,75243.9,713.0,4731.86,35.8,Bachelor,Employed,Divorced,Mortgage,2023-03-12,0
30.0,61290.53,504.0,5381.03,2.2,Bachelor,Self-Employed,Single,Mortgage,2025-04-17,1
78.0,50814.78,521.0,7373.07,22.0,High School,Employed,Single,Rent,2024-03-29,1
35.0,54371.75,566.0,20022.04,30.0,High School,Unemployed,Married,Mortgage,2025-09-23,0
75.0,74151.01,368.0,3742.52,23.2,High School,Self-Employed,Single,Rent,2024-10-30,0
56.0,54157.72,369.0,11305.75,19.4,High School,Self-Employed,Married,Rent,2023-09-05,1
71.0,67583.59,417.0,7619.64,11.3,High School,Employed,Married,Rent,2024-09-05,1
19.0,,,7192.8,5.9,PhD,Employed,Widowed,Mortgage,2025-04-24,1
60.0,52237.66,416.0,1166.05,2.7,Master,Employed,Married,Other,2024-12-05,0
43.0,24601.01,682.0,7333.53,20.0,High School,Employed,Married,Own,2023-10-26,1
79.0,53100.34,387.0,18790.95,9.6,Bachelor,Retired,Married,Mortgage,2023-04-12,1
23.0,56735.16,302.0,12314.19,38.4,Master,Employed,Divorced,Other,2025-06-21,1
36.0,51803.38,353.0,14013.43,28.2,Bachelor,Self-Employed,Married,Rent,2025-07-08,0
68.0,40924.05,349.0,10940.61,29.2,Bachelor,Employed,Divorced,Other,2023-08-02,1
50.0,46289.48,569.0,5614.1,7.7,PhD,Employed,Single,Mortgage,2023-08-26,1
72.0,33390.21,737.0,5360.94,10.6,PhD,Unemployed,Single,Mortgage,2024-08-18,0
34.0,63824.52,813.0,15186.65,1.4,Master,Retired,Divorced,Mortgage,2023-10-09,0
44.0,47847.31,312.0,44672.92,34.9,Bachelor,Employed,Single,Rent,2025-05-20,1
45.0,38442.17,397.0,28348.46,4.7,Master,Employed,Divorced,Mortgage,2023-10-14,0
35.0,63685.62,824.0,6267.65,12.2,High School,Unemployed,Married,Own,2025-07-11,1
58.0,54100.65,754.0,29662.31,27.3,Bachelor,Self-Employed,Single,Other,2025-06-06,1
63.0,59471.69,334.0,4858.14,1.9,Bachelor,Retired,Divorced,Mortgage,2024-04-09,1
33.0,34120.41,487.0,3165.84,24.2,Bachelor,Self-Employed,Married,Mortgage,2025-03-07,0
35.0,54404.99,762.0,9729.66,24.8,High School,Employed,Divorced,Rent,2023-04-07,0
30.0,47136.33,832.0,2571.24,34.8,Bachelor,Unemployed,Single,Own,2023-09-02,1
18.0,39705.21,509.0,9414.59,37.7,Bachelor,Employed,Married,Mortgage,2025-06-08,1
24.0,40621.43,843.0,7229.54,33.4,Bachelor,Self-Employed,Single,Other,2023-03-18,1
70.0,62197.92,573.0,4712.92,34.4,Bachelor,Employed,Single,Mortgage,2025-06-20,1
30.0,73513.92,699.0,313.44,8.5,Bachelor,Employed,Married,Rent,2023-07-29,0
32.0,36341.63,320.0,1777.1,6.9,High School,Employed,Married,Mortgage,2023-09-17,0
51.0,58689.55,768.0,2276.27,36.1,Master,Employed,Divorced,Mortgage,2023-06-08,0
38.0,33325.62,586.0,688.44,1.7,Bachelor,Employed,Divorced,Other,2025-01-09,1
72.0,25918.87,382.0,79.96,34.4,High School,Employed,Single,Rent,2024-03-08,0
36.0,46664.08,753.0,27978.18,37.7,Master,Self-Employed,Single,Own,2023-11-28,1
67.0,39004.91,756.0,7058.89,16.4,Master,Self-Employed,Married,Other,2025-08-14,1
23.0,40590.34,678.0,966.16,24.1,Master,Retired,Married,Other,2023-11-11,1
79.0,62929.48,690.0,8107.95,17.4,Bachelor,Employed,Divorced,Rent,2023-10-22,1
37.0,45383.22,845.0,6802.33,37.0,Master,Unemployed,Married,Own,2024-01-18,1
69.0,69268.0,578.0,43948.76,36.1,High School,Employed,Widowed,Mortgage,2024-01-24,1
49.0,24233.1,813.0,7362.07,31.4,Master,Employed,Divorced,Rent,2024-07-29,0
67.0,57841.67,801.0,550.0,9.3,Bachelor,Self-Employed,Single,Own,2025-05-29,1
44.0,26130.28,697.0,16571.82,17.0,Bachelor,Employed,Married,Mortgage,2024-03-18,1
43.0,43590.72,515.0,11564.38,5.1,High School,Employed,Married,Rent,2024-12-22,1
26.0,36318.08,650.0,14831.98,4.6,Master,Employed,Married,Mortgage,2023-03-01,0
41.0,28905.73,796.0,5358.27,2.0,Bachelor,Self-Employed,Single,Rent,2024-11-09,1
22.0,54253.37,694.0,159.4,39.7,High School,Employed,Single,Mortgage,2024-01-06,0
38.0,36409.46,631.0,3725.18,13.5,High School,Employed,Married,Own,2024-04-27,1
20.0,48863.44,716.0,4833.47,3.3,High School,Employed,Divorced,Own,2024-01-17,1
20.0,85129.63,669.0,5028.67,31.7,High School,Employed,Married,Own,2023-02-24,1
41.0,63392.38,531.0,14306.82,8.7,High School,Employed,Single,Rent,2023-01-24,0
50.0,53501.99,798.0,22795.98,16.4,Bachelor,Retired,Single,Other,2023-01-31,0
45.0,26659.9,603.0,4724.55,9.7,Bachelor,Employed,Married,Own,2025-05-30,1
68.0,49635.84,569.0,5909.54,12.7,Bachelor,Self-Employed,Married,Mortgage,2024-03-06,0
36.0,73942.14,400.0,11714.95,32.9,Master,Employed,Single,Rent,2023-01-11,1
47.0,42656.91,423.0,11216.52,29.2,Master,Employed,Married,Mortgage,2024-10-18,0
59.0,57163.31,832.0,3311.73,25.5,Master,Employed,Married,Mortgage,2025-03-24,0
49.0,64622.75,737.0,1826.39,37.7,High School,Employed,Single,Own,2024-04-28,0
49.0,63156.53,408.0,2005.55,23.7,High School,Self-Employed,Single,Rent,2024-06-27,1
21.0,60137.13,460.0,35906.64,3.1,High School,Unemployed,Widowed,Mortgage,2023-07-19,1
40.0,35745.04,461.0,29025.0,32.6,Bachelor,Unemployed,Married,Mortgage,2024-05-16,1
49.0,30315.81,403.0,13840.01,2.2,High School,Self-Employed,Married,Own,2025-07-29,0
25.0,40639.75,814.0,13934.08,9.3,Bachelor,Self-Employed,Married,Own,2023-04-18,1
62.0,36867.12,648.0,5715.04,27.9,Bachelor,Employed,Divorced,Mortgage,2023-08-07,0
66.0,63976.64,437.0,2096.59,12.3,High School,Employed,Married,Rent,2025-07-14,1
54.0,15104.72,835.0,1339.39,18.2,High School,Retired,Divorced,Own,2023-06-24,1
43.0,57258.38,698.0,1880.59,14.2,Bachelor,Self-Employed,Single,Rent,2024-12-24,0
79.0,22671.43,839.0,2640.38,12.2,Master,Unemployed,Single,Rent,2025-05-31,1
20.0,,708.0,2367.12,34.5,,Employed,Married,Mortgage,2025-07-22,1
57.0,52174.06,782.0,4058.75,18.4,Master,Employed,Single,Own,2024-01-30,0
76.0,79419.55,437.0,6896.25,3.7,Master,Unemployed,Married,Mortgage,2023-02-09,0
78.0,35933.3,707.0,1244.43,35.5,High School,Unemployed,Married,Rent,2025-04-13,0
37.0,42003.44,846.0,28539.45,12.6,High School,Retired,Widowed,Mortgage,2025-02-12,1
40.0,,,22077.93,31.1,Master,Unemployed,Married,Mortgage,2023-12-18,1
67.0,42451.44,701.0,19324.5,27.6,Bachelor,Self-Employed,Single,Own,2023-03-08,0
66.0,53574.44,828.0,40201.39,1.8,Bachelor,Employed,Married,Rent,2023-10-05,1
75.0,65679.69,482.0,9239.81,35.9,High School,Self-Employed,Married,Mortgage,2023-03-09,1
38.0,72142.19,655.0,6317.33,23.1,Bachelor,Employed,Divorced,Own,2025-06-29,0
68.0,45503.92,372.0,20607.05,22.9,Bachelor,Employed,Single,Own,2024-03-15,1
73.0,22235.89,742.0,997.19,33.1,High School,Employed,Divorced,Rent,2025-01-06,0
70.0,50195.01,831.0,8727.12,24.8,High School,Unemployed,Married,Mortgage,2023-10-24,1
33.0,85528.39,492.0,3263.64,29.7,High School,Retired,Married,Rent,2024-09-12,1
48.0,,849.0,5356.92,38.7,,Self-Employed,Widowed,Rent,2024-05-05,1
22.0,34125.51,636.0,10912.45,1.0,Bachelor,Employed,Married,Rent,2025-03-30,1
23.0,31763.7,784.0,12263.35,36.6,Bachelor,Employed,Married,Mortgage,2024-07-12,1
20.0,46728.44,800.0,7265.48,3.5,High School,Employed,Married,Mortgage,2024-02-29,1
58.0,42256.16,697.0,24647.03,24.5,Bachelor,Unemployed,Widowed,Rent,2025-07-13,1
69.0,42867.04,526.0,11900.62,31.2,Bachelor,Retired,Single,Own,2023-11-09,1
44.0,36771.82,841.0,14017.32,16.8,Master,Employed,Single,Rent,2023-07-04,0
43.0,54459.6,567.0,67.05,13.0,Bachelor,Employed,Married,Mortgage,2023-11-29,1
19.0,,502.0,7189.17,27.2,,Self-Employed,Married,Mortgage,2023-03-30,1
42.0,50225.97,822.0,15202.78,39.6,High School,Employed,Married,Own,2023-03-05,0
55.0,39494.77,321.0,16080.28,6.1,Bachelor,Employed,Married,Rent,2025-04-14,0
69.0,54446.88,686.0,4310.95,24.7,Bachelor,Self-Employed,Married,Mortgage,2024-07-30,1
45.0,53189.84,725.0,1265.55,31.3,Bachelor,Employed,Married,Rent,2023-08-04,1
42.0,72478.47,589.0,13792.51,21.7,High School,Employed,Married,Mortgage,2024-09-07,0
65.0,,740.0,14982.96,0.0,,Employed,Married,Other,2024-05-28,0
49.0,62188.41,643.0,37768.03,20.3,High School,Employed,Single,Rent,2023-10-18,1
52.0,23291.65,576.0,9033.82,24.6,High School,Self-Employed,Single,Rent,2024-01-13,1
30.0,65028.91,399.0,15409.04,11.6,High School,Employed,Widowed,Own,2025-06-10,0
30.0,48877.2,711.0,18940.2,10.4,Bachelor,Employed,Married,Other,2025-08-27,1
45.0,59688.77,800.0,4037.75,1.3,PhD,Self-Employed,Married,Own,2025-08-04,1
29.0,55856.04,344.0,17522.6,23.6,Bachelor,Unemployed,Single,Rent,2025-02-25,1
34.0,64937.86,846.0,15442.23,2.6,Bachelor,Unemployed,Single,Other,2024-03-01,1
60.0,60608.18,513.0,19736.07,24.5,Bachelor,Retired,Divorced,Rent,2024-11-27,1
18.0,65392.31,638.0,6206.24,9.3,High School,Self-Employed,Married,Rent,2025-09-22,1
55.0,42388.44,553.0,25972.54,19.7,High School,Employed,Married,Own,2023-11-06,0
57.0,61530.91,537.0,30976.98,8.2,Master,Unemployed,Married,Rent,2023-03-28,0
70.0,54185.46,628.0,8782.72,26.2,Master,Self-Employed,Single,Own,2025-01-01,1
49.0,28069.46,669.0,11751.0,36.3,PhD,Self-Employed,Single,Mortgage,2025-01-25,1
41.0,45060.04,343.0,707.81,7.8,High School,Employed,Married,Mortgage,2023-11-07,1
40.0,48305.12,300.0,156.3,4.7,Bachelor,Employed,Divorced,Mortgage,2024-06-22,1
18.0,46797.91,312.0,21160.77,18.6,Bachelor,Employed,Divorced,Mortgage,2023-05-17,0
45.0,41107.58,630.0,24410.54,35.8,PhD,Employed,Married,Mortgage,2025-08-16,1
66.0,44303.64,659.0,19388.63,3.2,High School,Retired,Divorced,Other,2025-09-26,1
24.0,52756.57,462.0,10189.66,37.5,Master,Employed,Married,Mortgage,2024-12-29,0
71.0,25820.58,430.0,199.94,23.4,Master,Employed,Single,Mortgage,2023-09-19,1
42.0,44680.64,600.0,40012.56,22.3,Bachelor,Self-Employed,Married,Other,2024-07-01,0
57.0,75639.39,520.0,14232.44,34.3,Master,Employed,Married,Own,2023-06-18,1
31.0,50866.93,827.0,37039.23,28.9,High School,Self-Employed,Single,Mortgage,2025-03-01,0
45.0,54110.09,619.0,3836.19,12.3,Bachelor,Employed,Married,Mortgage,2024-03-24,0
41.0,50161.97,533.0,17530.01,11.4,High School,Retired,Married,Own,2023-05-20,0
